,축제이름,기간,장소
0,"전주 한옥마을 경기전 ""왕과의 산책"" 2019",기간 : 2019. 5. 4. ~ 10. 26. / 20:00~21:40,장소 : 전라북도 전주시
1,전주 문화재야행 2019,기간 : 2019. 10. 12 / (토)18:00~23:00,장소 : 전라북도 전주시
2,전주비빔밥축제 2019,기간 : 2019.10.9~12/09:00~20:00,장소 : 전라북도 전주시
3,전주세계소리축제 2019,기간 : 2019. 10. 2. ~ 6. / 09:00-21:00,장소 : 전라북도 전주시
4,전주 문화재야행 2019,"기간 : 2019. 9. 21. ~ 22. / (토)18:00~24:00, (일)18:00~23:00",장소 : 전라북도 전주시
5,전주대사습놀이 2019,기간 : 2019.06.07 ~ 2019.06.10 / 10:00~22:00,장소 : 전라북도 전주시
6,전주 단오 2019,기간 : 2019. 6. 7. ~ 8. / 10:00~20:00,장소 : 전라북도 전주시
7,전주 문화재야행 2019,"기간 : 2019. 5. 25. ~ 26. / (토)18:00~24:00, (일)18:00~23:00",장소 : 전라북도 전주시
8,전주 충경로 차 없는 사람의 거리 2019,기간 : 2019. 5. 25.  / 14:00 ~ 18:00,장소 : 전라북도 전주시
9,전주국제영화제 2019,기간 : 2019.05.02-05.11,장소 : 전라북도 전주시
10,전주 한지문화축제 2019,기간 : 2019.05.04 ~ 2019.05.06,장소 : 전라북도 전주시
11,국립전주박물관 설 대보름 맞이 문화축전 2019,기간 : 2019.02.02~02.19 / 설 당일 휴관,장소 : 전라북도 전주시
12,전주역사박물관 설날 세시풍속 한마당 2019,기간 : 09:00-18:00,장소 : 전라북도 전주시
